Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId,geometry
299004,Grand Price,12955 Grand River Ave,NA,Detroit,MI,48227,3821,WAYNE,Super Store,42.381634,-83.171089,NA,NA,12305,"c(-83.171089, 42.381634)"
319000,Imperial Kosher Market,737 E Glendale Ave,Ste A,Phoenix,AZ,85020,5351,MARICOPA,Grocery Store,33.538223,-112.06339,NA,NA,12469,"c(-112.06339, 33.538223)"
337052,ALDI 40090 40090,2828 N Central Ave,NA,Chicago,IL,60634,5306,COOK,Supermarket,41.931793,-87.766312,NA,NA,12998,"c(-87.766312, 41.931793)"
324101,Mercado Y Carniceria El Rancho 2,2601 E Bell Rd,Ste 6,Phoenix,AZ,85032,2439,MARICOPA,Supermarket,33.640423,-112.02634,NA,NA,13006,"c(-112.02634, 33.640423)"
396567,Food City 103,4239 W McDowell Rd,NA,Phoenix,AZ,85009,2080,MARICOPA,Super Store,33.465942,-112.14997,NA,NA,13284,"c(-112.14997, 33.465942)"
396612,Best Food,5751 W Augusta Blvd,NA,Chicago,IL,60651,2616,COOK,Grocery Store,41.898392,-87.769508,NA,NA,13288,"c(-87.769508, 41.898392)"
454824,PATEL BROTHERS,2610 W Devon Ave,NA,Chicago,IL,60659,1804,COOK,Super Store,41.997688,-87.695335,NA,NA,13360,"c(-87.695335, 41.997688)"
454200,Charlies Supermarket Inc,2941 W Montrose Ave,NA,Chicago,IL,60618,1414,COOK,Grocery Store,41.960915,-87.702515,NA,NA,13426,"c(-87.702515, 41.960915)"
454911,Super Carniceria Las Cuatro Milpa,6639 W McDowell Rd,NA,Phoenix,AZ,85035,4749,MARICOPA,Grocery Store,33.465832,-112.20224,NA,NA,13467,"c(-112.20224, 33.465832)"
323096,Food City 140,6544 W Thomas Rd,NA,Phoenix,AZ,85033,5738,MARICOPA,Super Store,33.480389,-112.20187,NA,NA,13493,"c(-112.20187, 33.480389)"
265619,LA FRUTERIA INC.,8909 S Commercial Ave,NA,Chicago,IL,60617,3202,COOK,Supermarket,41.733368,-87.551048,NA,NA,13655,"c(-87.551048, 41.733368)"
265628,ALDI 40030 40030,4030 W Wrightwood Ave,NA,Chicago,IL,60639,2125,COOK,Supermarket,41.928169,-87.727654,NA,NA,13657,"c(-87.727654, 41.928169)"
327003,Greenfield Super Market,15530 Puritan St,NA,Detroit,MI,48227,2342,WAYNE,Super Store,42.408787,-83.199432,NA,NA,13744,"c(-83.199432, 42.408787)"
